key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
[backspace],2021-10-20 10:11:55.546261,2021-10-20 10:12:05.861171,Alex,10314910.0,703718.0,-9611192.0,-1861198.0
r,2021-10-20 10:11:56.249979,2021-10-20 10:12:03.999973,Alex,7749994.0,89685.0,-7660309.0,4024511.0
e,2021-10-20 10:11:56.339664,2021-10-20 10:12:08.024484,Alex,11684820.0,256107.0,-11428713.0,-2866409.0
l,2021-10-20 10:11:56.595771,2021-10-20 10:12:05.158075,Alex,8562304.0,211177.0,-8351127.0,-2626620.0
a,2021-10-20 10:11:56.806948,2021-10-20 10:12:02.531455,Alex,5724507.0,129300.0,-5595207.0,6211471.0
s,2021-10-20 10:11:56.936248,2021-10-20 10:12:08.742926,Alex,11806678.0,975611.0,-10831067.0,-10267297.0
[alt],2021-10-20 10:11:57.911859,2021-10-20 10:11:58.475629,Alex,563770.0,43838.0,-519932.0,-339605.0
[tab],2021-10-20 10:11:57.955697,2021-10-20 10:11:58.136024,Alex,180327.0,4185226.0,4004899.0,4379949.0
[maj],2021-10-20 10:12:02.140923,2021-10-20 10:12:02.515973,Alex,375050.0,484390.0,109340.0,203057.0
[space],2021-10-20 10:12:02.625313,2021-10-20 10:12:02.719030,Alex,93717.0,171840.0,78123.0,156225.0
p,2021-10-20 10:12:02.797153,2021-10-20 10:12:02.875255,Alex,78102.0,187439.0,109337.0,234325.0
a,2021-10-20 10:12:02.984592,2021-10-20 10:12:03.109580,Alex,124988.0,124988.0,0.0,93714.0
n,2021-10-20 10:12:03.109580,2021-10-20 10:12:03.203294,Alex,93714.0,546748.0,453034.0,546624.0
g,2021-10-20 10:12:03.656328,2021-10-20 10:12:03.749918,Alex,93590.0,281174.0,187584.0,328182.0
a,2021-10-20 10:12:03.937502,2021-10-20 10:12:04.078100,Alex,140598.0,93738.0,-46860.0,109343.0
m,2021-10-20 10:12:04.031240,2021-10-20 10:12:04.187443,Alex,156203.0,187446.0,31243.0,140598.0
[space],2021-10-20 10:12:04.218686,2021-10-20 10:12:04.328041,Alex,109355.0,218574.0,109219.0,281185.0
o,2021-10-20 10:12:04.437260,2021-10-20 10:12:04.609226,Alex,171966.0,171966.0,0.0,124954.0
r,2021-10-20 10:12:04.609226,2021-10-20 10:12:04.734180,Alex,124954.0,62483.0,-62471.0,78124.0
[space],2021-10-20 10:12:04.671709,2021-10-20 10:12:04.812304,Alex,140595.0,140595.0,0.0,127191.0
h,2021-10-20 10:12:04.812304,2021-10-20 10:12:04.939495,Alex,127191.0,1095728.0,968537.0,1093493.0
o,2021-10-20 10:12:05.908032,2021-10-20 10:12:06.032988,Alex,124956.0,218702.0,93746.0,187473.0
l,2021-10-20 10:12:06.126734,2021-10-20 10:12:06.220461,Alex,93727.0,156202.0,62475.0,156212.0
o,2021-10-20 10:12:06.282936,2021-10-20 10:12:06.376673,Alex,93737.0,203088.0,109351.0,218564.0
a,2021-10-20 10:12:06.486024,2021-10-20 10:12:06.595237,Alex,109213.0,93595.0,-15618.0,125106.0
p,2021-10-20 10:12:06.579619,2021-10-20 10:12:06.720343,Alex,140724.0,312560.0,171836.0,296796.0
[backspace],2021-10-20 10:12:06.892179,2021-10-20 10:12:07.017139,Alex,124960.0,140586.0,15626.0,124969.0
l,2021-10-20 10:12:07.032765,2021-10-20 10:12:07.142108,Alex,109343.0,124973.0,15630.0,156213.0
p,2021-10-20 10:12:07.157738,2021-10-20 10:12:07.298321,Alex,140583.0,249943.0,109360.0,249941.0
h,2021-10-20 10:12:07.407681,2021-10-20 10:12:07.548262,Alex,140581.0,190839.0,50258.0,132534.0
a,2021-10-20 10:12:07.598520,2021-10-20 10:12:07.680796,Alex,82276.0,97892.0,15616.0,124986.0
b,2021-10-20 10:12:07.696412,2021-10-20 10:12:07.805782,Alex,109370.0,343688.0,234318.0,296803.0
t,2021-10-20 10:12:08.040100,2021-10-20 10:12:08.102585,Alex,62485.0,93723.0,31238.0,171839.0
i,2021-10-20 10:12:08.133823,2021-10-20 10:12:08.274424,Alex,140601.0,203082.0,62481.0,187433.0
c,2021-10-20 10:12:08.336905,2021-10-20 10:12:08.461857,Alex,124952.0,140571.0,15619.0,156227.0
[space],2021-10-20 10:12:08.477476,2021-10-20 10:12:08.618084,Alex,140608.0,328070.0,187462.0,283192.0
e,2021-10-20 10:12:08.805546,2021-10-20 10:12:08.901276,Alex,95730.0,502021.0,406291.0,531250.0
n,2021-10-20 10:12:09.307567,2021-10-20 10:12:09.432526,Alex,124959.0,171821.0,46862.0,171853.0
t,2021-10-20 10:12:09.479388,2021-10-20 10:12:09.604379,Alex,124991.0,109341.0,-15650.0,124952.0
e,2021-10-20 10:12:09.588729,2021-10-20 10:12:09.729331,Alex,140602.0,203087.0,62485.0,187461.0
n,2021-10-20 10:12:09.791816,2021-10-20 10:12:09.916792,Alex,124976.0,156208.0,31232.0,234318.0
c,2021-10-20 10:12:09.948024,2021-10-20 10:12:10.151110,Alex,203086.0,140606.0,-62480.0,93726.0
e,2021-10-20 10:12:10.088630,2021-10-20 10:12:10.244836,Alex,156206.0,234323.0,78117.0,203078.0
[space],2021-10-20 10:12:10.322953,2021-10-20 10:12:10.447914,Alex,124961.0,140577.0,15616.0,156218.0
i,2021-10-20 10:12:10.463530,2021-10-20 10:12:10.604132,Alex,140602.0,124983.0,-15619.0,156200.0
s,2021-10-20 10:12:10.588513,2021-10-20 10:12:10.760332,Alex,171819.0,109347.0,-62472.0,62503.0
[space],2021-10-20 10:12:10.697860,2021-10-20 10:12:10.822835,Alex,124975.0,140581.0,15606.0,203056.0
a,2021-10-20 10:12:10.838441,2021-10-20 10:12:11.025891,Alex,187450.0,109342.0,-78108.0,62505.0
[space],2021-10-20 10:12:10.947783,2021-10-20 10:12:11.088396,Alex,140613.0,281199.0,140586.0,218568.0
s,2021-10-20 10:12:11.228982,2021-10-20 10:12:11.306964,Alex,77982.0,171839.0,93857.0,218812.0
e,2021-10-20 10:12:11.400821,2021-10-20 10:12:11.525776,Alex,124955.0,93721.0,-31234.0,109365.0
n,2021-10-20 10:12:11.494542,2021-10-20 10:12:11.635141,Alex,140599.0,156210.0,15611.0,109342.0
t,2021-10-20 10:12:11.650752,2021-10-20 10:12:11.744483,Alex,93731.0,374931.0,281200.0,406149.0
e,2021-10-20 10:12:12.025683,2021-10-20 10:12:12.150632,Alex,124949.0,124949.0,0.0,124883.0
n,2021-10-20 10:12:12.150632,2021-10-20 10:12:12.275515,Alex,124883.0,109353.0,-15530.0,187550.0
c,2021-10-20 10:12:12.259985,2021-10-20 10:12:12.463065,Alex,203080.0,171847.0,-31233.0,140590.0
e,2021-10-20 10:12:12.431832,2021-10-20 10:12:12.603655,Alex,171823.0,109327.0,-62496.0,93734.0
[space],2021-10-20 10:12:12.541159,2021-10-20 10:12:12.697389,Alex,156230.0,328071.0,171841.0,281186.0
t,2021-10-20 10:12:12.869230,2021-10-20 10:12:12.978575,Alex,109345.0,109345.0,0.0,109252.0
a,2021-10-20 10:12:12.978575,2021-10-20 10:12:13.087827,Alex,109252.0,78090.0,-31162.0,78208.0
h,2021-10-20 10:12:13.056665,2021-10-20 10:12:13.166035,Alex,109370.0,171751.0,62381.0,203065.0
t,2021-10-20 10:12:13.228416,2021-10-20 10:12:13.369100,Alex,140684.0,78190.0,-62494.0,62492.0
[space],2021-10-20 10:12:13.306606,2021-10-20 10:12:13.431592,Alex,124986.0,218718.0,93732.0,156085.0
[backspace],2021-10-20 10:12:13.525324,2021-10-20 10:12:13.587677,Alex,62353.0,156214.0,93861.0,156339.0
[backspace],2021-10-20 10:12:13.681538,2021-10-20 10:12:13.744016,Alex,62478.0,140574.0,78096.0,140598.0
