key,pressed,released,user,hold_time,press_press_time,press_release_time
[caps_lock],2021-11-25 17:30:36.729345,2021-11-25 17:30:36.863372,zihao,134027.0,264914.0,130887.0
y,2021-11-25 17:30:36.994259,2021-11-25 17:30:37.132158,zihao,137899.0,130900.0,-6999.0
[caps_lock],2021-11-25 17:30:37.125159,2021-11-25 17:30:37.254726,zihao,129567.0,106075.0,-23492.0
o,2021-11-25 17:30:37.231234,2021-11-25 17:30:37.389800,zihao,158566.0,110567.0,-47999.0
u,2021-11-25 17:30:37.341801,2021-11-25 17:30:37.459800,zihao,117999.0,238892.0,120893.0
[space],2021-11-25 17:30:37.580693,2021-11-25 17:30:37.697013,zihao,116320.0,636061.0,519741.0
[backspace],2021-11-25 17:30:38.216754,2021-11-25 17:30:38.350117,zihao,133363.0,197502.0,64139.0
[shift],2021-11-25 17:30:38.414256,2021-11-25 17:30:38.514651,zihao,100395.0,278456.0,178061.0
o,2021-11-25 17:30:38.692712,2021-11-25 17:30:38.810836,zihao,118124.0,105125.0,-12999.0
u,2021-11-25 17:30:38.797837,2021-11-25 17:30:38.921556,zihao,123719.0,206123.0,82404.0
[space],2021-11-25 17:30:39.003960,2021-11-25 17:30:39.103978,zihao,100018.0,148050.0,48032.0
w,2021-11-25 17:30:39.152010,2021-11-25 17:30:39.285182,zihao,133172.0,101074.0,-32098.0
o,2021-11-25 17:30:39.253084,2021-11-25 17:30:39.379725,zihao,126641.0,72098.0,-54543.0
u,2021-11-25 17:30:39.325182,2021-11-25 17:30:39.446836,zihao,121654.0,234609.0,112955.0
l,2021-11-25 17:30:39.559791,2021-11-25 17:30:39.704953,zihao,145162.0,277907.0,132745.0
d,2021-11-25 17:30:39.837698,2021-11-25 17:30:39.971954,zihao,134256.0,409123.0,274867.0
m,2021-11-25 17:30:40.246821,2021-11-25 17:30:40.353885,zihao,107064.0,295286.0,188222.0
[backspace],2021-11-25 17:30:40.542107,2021-11-25 17:30:40.693065,zihao,150958.0,275450.0,124492.0
n,2021-11-25 17:30:40.817557,2021-11-25 17:30:40.897157,zihao,79600.0,359632.0,280032.0
',2021-11-25 17:30:41.177189,2021-11-25 17:30:41.300797,zihao,123608.0,146608.0,23000.0
t,2021-11-25 17:30:41.323797,2021-11-25 17:30:41.434832,zihao,111035.0,116056.0,5021.0
[space],2021-11-25 17:30:41.439853,2021-11-25 17:30:41.518400,zihao,78547.0,346104.0,267557.0
n,2021-11-25 17:30:41.785957,2021-11-25 17:30:41.902977,zihao,117020.0,122023.0,5003.0
e,2021-11-25 17:30:41.907980,2021-11-25 17:30:42.013913,zihao,105933.0,159918.0,53985.0
c,2021-11-25 17:30:42.067898,2021-11-25 17:30:42.234200,zihao,166302.0,159297.0,-7005.0
e,2021-11-25 17:30:42.227195,2021-11-25 17:30:42.361394,zihao,134199.0,190614.0,56415.0
s,2021-11-25 17:30:42.417809,2021-11-25 17:30:42.535836,zihao,118027.0,149026.0,30999.0
