hold_time,user,press_press_time,press_release_time
69100.0,s034,150300.0,93300.0
66800.0,s034,85700.0,16600.0
68100.0,s034,134100.0,67300.0
82000.0,s034,872900.0,804800.0
102900.0,s034,581800.0,499800.0
65199.99999999999,s034,214200.0,111300.0
83100.0,s034,117800.0,52600.0
115000.0,s034,116400.0,33300.0
67500.0,s034,320700.0,205700.0
42200.0,s034,992200.0,924700.0
67500.0,s034,186400.0,113100.0
73100.0,s034,74700.0,7200.0
66500.0,s034,148800.0,75700.0
70200.0,s034,663800.0,597300.0
114500.0,s034,575000.0,504800.0
99200.0,s034,334500.0,220000.0
105000.0,s034,166000.0,66800.0
92300.0,s034,137200.0,32200.0
66800.0,s034,291700.0,199400.0
65400.0,s034,394500.0,327700.0
63600.00000000001,s034,454300.0,384900.0
58100.0,s034,86600.0,23000.0
67000.0,s034,104000.0,45900.0
74400.0,s034,725500.0,658500.0
98400.0,s034,498500.0,424100.0
46700.0,s034,203400.0,105000.0
22700.0,s034,176000.0,129300.0
127900.00000000001,s034,490300.0,467600.0
133700.0,s034,307500.0,179600.0
76800.0,s034,874100.0,740400.0
80500.0,s034,266500.0,200300.0
57800.0,s034,90000.0,9500.0
69100.0,s034,112900.0,55100.0
69900.0,s034,726500.0,657400.0
108700.0,s034,631200.0,561300.0
79900.0,s034,221300.0,112600.0
111300.0,s034,97900.0,18000.0
73300.0,s034,117700.0,6400.0
67800.0,s034,264500.0,191200.0
73300.0,s034,1038700.0,970900.0
68900.0,s034,195900.0,94900.0
82800.0,s034,76800.0,7900.000000000001
67300.0,s034,139500.0,56700.0
85200.0,s034,674300.0,607000.0
69700.0,s034,639800.0,554600.0
81000.0,s034,376700.0,307000.0
100000.0,s034,126700.0,45700.0
87600.0,s034,124900.0,24900.0
87800.0,s034,358700.0,271100.0
74700.0,s034,382500.0,294700.0
72800.0,s034,188300.0,105700.0
71000.0,s034,81800.0,9000.0
66000.0,s034,108000.0,37000.0
74400.0,s034,619200.0,553200.0
92100.0,s034,498600.0,424200.0
80700.0,s034,158900.0,66800.0
105000.0,s034,101100.0,20400.0
114700.0,s034,109800.0,4800.0
93900.0,s034,265800.0,151100.0
77000.0,s034,294200.0,200300.0
84700.0,s034,165300.0,115200.0
66200.0,s034,107900.0,23200.0
75500.0,s034,96800.0,30600.0
85700.0,s034,667800.0,592300.0
231800.0,s034,836000.0,750300.0
87800.0,s034,489500.0,257699.99999999997
109300.0,s034,124600.0,36800.0
81100.0,s034,106100.0,-3200.0
101000.0,s034,241400.0,160300.0
102400.0,s034,271000.0,170000.0
87300.0,s034,163400.0,103000.0
65700.0,s034,119500.0,32200.0
63100.0,s034,102700.0,37000.0
88600.0,s034,941000.0,877900.0
129899.99999999999,s034,773800.0,685200.0
84200.0,s034,312900.0,183000.0
110800.0,s034,78200.0,-6000.0
80700.0,s034,131200.0,20400.0
87600.0,s034,201700.0,121000.0
69100.0,s034,272100.0,184500.0
69400.0,s034,193500.0,101700.0
81800.0,s034,90000.0,20600.0
78600.0,s034,112700.0,30900.0
65400.0,s034,950000.0,871400.0
79500.0,s034,726600.0,661200.0
84200.0,s034,122800.0,43300.0
89700.0,s034,129399.99999999999,45200.0
104200.0,s034,85200.0,-4500.0
84900.0,s034,269000.0,164800.0
32000.0,s034,846400.0,761500.0
68300.0,s034,522100.0,377300.0
63100.0,s034,100500.0,32200.0
62300.0,s034,115100.0,52000.0
67300.0,s034,791700.0,729400.0
60200.0,s034,415000.0,347700.0
71500.0,s034,97400.0,37200.0
71200.0,s034,117500.0,46000.0
97900.0,s034,97900.0,26700.0
100800.0,s034,206000.0,108100.0
85200.0,s034,275500.0,174700.0
73600.0,s034,312700.0,244900.0
72600.0,s034,102100.0,28500.0
59900.0,s034,135900.0,63299.99999999999
65400.0,s034,755000.0,695100.0
76600.0,s034,451500.0,386100.0
72000.0,s034,293700.0,217100.0
100800.0,s034,96600.0,24600.0
94400.0,s034,124900.0,24100.0
74400.0,s034,850400.0,756000.0
62300.0,s034,435800.0,361400.0
82300.0,s034,410800.0,320100.0
54400.0,s034,112400.0,30100.0
58800.0,s034,127200.00000000001,72800.0
65400.0,s034,607300.0,548500.0
101000.0,s034,1012899.9999999999,947500.0
81800.0,s034,170400.0,69400.0
98700.0,s034,117500.0,35700.0
74900.0,s034,123600.0,24900.0
93900.0,s034,228100.0,153200.0
112100.0,s034,612800.0,518900.0
82300.0,s034,224900.0,143100.0
60700.0,s034,122900.0,40600.0
66200.0,s034,116900.0,56200.0
42800.0,s034,1010999.9999999999,944800.0
101900.0,s034,557900.0,515100.0
84900.0,s034,119600.0,17700.0
98900.0,s034,119000.0,34100.0
93900.0,s034,124500.0,25600.0
77300.0,s034,239500.0,145600.0
83600.0,s034,290800.0,213500.0
82300.0,s034,150000.0,66400.0
50100.0,s034,121600.0,39300.0
72300.0,s034,78600.0,28500.0
69700.0,s034,586000.0,513700.00000000006
87900.0,s034,503800.0,434100.0
91800.0,s034,170200.0,82300.0
91500.0,s034,115100.0,23300.0
85700.0,s034,122200.0,30700.0
102100.0,s034,202500.0,116800.0
111800.0,s034,1551300.0,1449200.0
76500.0,s034,229900.0,172100.0
55900.0,s034,101100.0,24600.0
67300.0,s034,99400.0,43500.0
80700.0,s034,797500.0,730200.0
88400.0,s034,571800.0,491100.0
61700.0,s034,138000.0,49600.0
104500.0,s034,88200.0,26500.0
84400.0,s034,107500.0,3000.0
80500.0,s034,208100.0,123700.0
85200.0,s034,237600.0,157100.0
73100.0,s034,153400.0,70300.0
61700.0,s034,120900.0,47800.0
64600.00000000001,s034,75200.0,13500.0
63600.00000000001,s034,820400.0,755800.0
83200.0,s034,521200.0,457600.0
85200.0,s034,123100.0,39900.0
98700.0,s034,86400.0,1200.0
71800.0,s034,120700.0,22000.0
84900.0,s034,158600.0,86800.0
96600.0,s034,231700.0,146800.0
