key,pressed,released,user,hold_time,press_press_time,press_release_time
[alt],2021-11-22 11:16:11.936705,2021-11-22 11:16:13.449099,alex,1512394.0,46856.0,-1465538.0
[tab],2021-11-22 11:16:11.983561,2021-11-22 11:16:12.163496,alex,179935.0,520494.0,340559.0
[tab],2021-11-22 11:16:12.504055,2021-11-22 11:16:12.628326,alex,124271.0,302550.0,178279.0
[tab],2021-11-22 11:16:12.806605,2021-11-22 11:16:12.933453,alex,126848.0,486276.0,359428.0
[tab],2021-11-22 11:16:13.292881,2021-11-22 11:16:13.402230,alex,109349.0,334301.0,224952.0
[alt],2021-11-22 11:16:13.627182,2021-11-22 11:16:14.659569,alex,1032387.0,46862.0,-985525.0
[tab],2021-11-22 11:16:13.674044,2021-11-22 11:16:13.815879,alex,141835.0,298174.0,156339.0
[tab],2021-11-22 11:16:13.972218,2021-11-22 11:16:14.097205,alex,124987.0,234335.0,109348.0
[tab],2021-11-22 11:16:14.206553,2021-11-22 11:16:14.331523,alex,124970.0,265575.0,140605.0
[tab],2021-11-22 11:16:14.472128,2021-11-22 11:16:14.597087,alex,124959.0,1392997.0,1268038.0
[maj],2021-11-22 11:16:15.865125,2021-11-22 11:16:16.021219,alex,156094.0,124990.0,-31104.0
y,2021-11-22 11:16:15.990115,2021-11-22 11:16:16.052499,alex,62384.0,124951.0,62567.0
o,2021-11-22 11:16:16.115066,2021-11-22 11:16:16.271289,alex,156223.0,78123.0,-78100.0
u,2021-11-22 11:16:16.193189,2021-11-22 11:16:16.318151,alex,124962.0,46862.0,-78100.0
[space],2021-11-22 11:16:16.240051,2021-11-22 11:16:16.349391,alex,109340.0,171846.0,62506.0
w,2021-11-22 11:16:16.411897,2021-11-22 11:16:16.536853,alex,124956.0,46855.0,-78101.0
o,2021-11-22 11:16:16.458752,2021-11-22 11:16:16.599343,alex,140591.0,93592.0,-46999.0
u,2021-11-22 11:16:16.552344,2021-11-22 11:16:16.646075,alex,93731.0,171974.0,78243.0
l,2021-11-22 11:16:16.724318,2021-11-22 11:16:16.852765,alex,128447.0,97204.0,-31243.0
d,2021-11-22 11:16:16.821522,2021-11-22 11:16:16.962115,alex,140593.0,171970.0,31377.0
n,2021-11-22 11:16:16.993492,2021-11-22 11:16:17.118456,alex,124964.0,1374672.0,1249708.0
',2021-11-22 11:16:18.368164,2021-11-22 11:16:18.571245,alex,203081.0,109221.0,-93860.0
t,2021-11-22 11:16:18.477385,2021-11-22 11:16:18.664966,alex,187581.0,125102.0,-62479.0
[space],2021-11-22 11:16:18.602487,2021-11-22 11:16:18.727325,alex,124838.0,265555.0,140717.0
n,2021-11-22 11:16:18.868042,2021-11-22 11:16:18.977264,alex,109222.0,109222.0,0.0
e,2021-11-22 11:16:18.977264,2021-11-22 11:16:19.118003,alex,140739.0,312564.0,171825.0
c,2021-11-22 11:16:19.289828,2021-11-22 11:16:19.477261,alex,187433.0,140582.0,-46851.0
e,2021-11-22 11:16:19.430410,2021-11-22 11:16:19.555385,alex,124975.0,203089.0,78114.0
s,2021-11-22 11:16:19.633499,2021-11-22 11:16:19.695968,alex,62469.0,187453.0,124984.0
s,2021-11-22 11:16:19.820952,2021-11-22 11:16:19.961530,alex,140578.0,78104.0,-62474.0
a,2021-11-22 11:16:19.899056,2021-11-22 11:16:20.086517,alex,187461.0,218696.0,31235.0
r,2021-11-22 11:16:20.117752,2021-11-22 11:16:20.242725,alex,124973.0,437401.0,312428.0
i,2021-11-22 11:16:20.555153,2021-11-22 11:16:20.648879,alex,93726.0,187458.0,93732.0
l,2021-11-22 11:16:20.742611,2021-11-22 11:16:20.883198,alex,140587.0,249940.0,109353.0
y,2021-11-22 11:16:20.992551,2021-11-22 11:16:21.117518,alex,124967.0,187448.0,62481.0
[space],2021-11-22 11:16:21.179999,2021-11-22 11:16:21.242473,alex,62474.0,109353.0,46879.0
t,2021-11-22 11:16:21.289352,2021-11-22 11:16:21.414234,alex,124882.0,62487.0,-62395.0
h,2021-11-22 11:16:21.351839,2021-11-22 11:16:21.445567,alex,93728.0,93728.0,0.0
i,2021-11-22 11:16:21.445567,2021-11-22 11:16:21.601782,alex,156215.0,156215.0,0.0
n,2021-11-22 11:16:21.601782,2021-11-22 11:16:21.695502,alex,93720.0,124959.0,31239.0
k,2021-11-22 11:16:21.726741,2021-11-22 11:16:21.851722,alex,124981.0,156228.0,31247.0
[space],2021-11-22 11:16:21.882969,2021-11-22 11:16:21.976624,alex,93655.0,124838.0,31183.0
m,2021-11-22 11:16:22.007807,2021-11-22 11:16:22.132910,alex,125103.0,264972.0,139869.0
i,2021-11-22 11:16:22.272779,2021-11-22 11:16:22.391203,alex,118424.0,180951.0,62527.0
l,2021-11-22 11:16:22.453730,2021-11-22 11:16:22.641181,alex,187451.0,124966.0,-62485.0
k,2021-11-22 11:16:22.578696,2021-11-22 11:16:22.750540,alex,171844.0,515497.0,343653.0
",",2021-11-22 11:16:23.094193,2021-11-22 11:16:23.250419,alex,156226.0,203094.0,46868.0
[space],2021-11-22 11:16:23.297287,2021-11-22 11:16:23.390923,alex,93636.0,46853.0,-46783.0
o,2021-11-22 11:16:23.344140,2021-11-22 11:16:23.484743,alex,140603.0,187467.0,46864.0
f,2021-11-22 11:16:23.531607,2021-11-22 11:16:23.703430,alex,171823.0,156189.0,-15634.0
[space],2021-11-22 11:16:23.687796,2021-11-22 11:16:23.781536,alex,93740.0,124990.0,31250.0
a,2021-11-22 11:16:23.812786,2021-11-22 11:16:23.937623,alex,124837.0,46859.0,-77978.0
l,2021-11-22 11:16:23.859645,2021-11-22 11:16:23.953381,alex,93736.0,171849.0,78113.0
l,2021-11-22 11:16:24.031494,2021-11-22 11:16:24.172064,alex,140570.0,140570.0,0.0
[space],2021-11-22 11:16:24.172064,2021-11-22 11:16:24.297047,alex,124983.0,187452.0,62469.0
t,2021-11-22 11:16:24.359516,2021-11-22 11:16:24.468884,alex,109368.0,31250.0,-78118.0
h,2021-11-22 11:16:24.390766,2021-11-22 11:16:24.546988,alex,156222.0,109359.0,-46863.0
i,2021-11-22 11:16:24.500125,2021-11-22 11:16:24.703203,alex,203078.0,249942.0,46864.0
g,2021-11-22 11:16:24.750067,2021-11-22 11:16:24.859411,alex,109344.0,281187.0,171843.0
s,2021-11-22 11:16:25.031254,2021-11-22 11:16:25.140535,alex,109281.0,93719.0,-15562.0
",",2021-11-22 11:16:25.124973,2021-11-22 11:16:25.281188,alex,156215.0,187459.0,31244.0
[space],2021-11-22 11:16:25.312432,2021-11-22 11:16:25.406150,alex,93718.0,265562.0,171844.0
w,2021-11-22 11:16:25.577994,2021-11-22 11:16:25.702898,alex,124904.0,62482.0,-62422.0
o,2021-11-22 11:16:25.640476,2021-11-22 11:16:25.796693,alex,156217.0,93738.0,-62479.0
u,2021-11-22 11:16:25.734214,2021-11-22 11:16:25.843555,alex,109341.0,203075.0,93734.0
l,2021-11-22 11:16:25.937289,2021-11-22 11:16:26.046635,alex,109346.0,78105.0,-31241.0
d,2021-11-22 11:16:26.015394,2021-11-22 11:16:26.155974,alex,140580.0,93725.0,-46855.0
[space],2021-11-22 11:16:26.109119,2021-11-22 11:16:26.234097,alex,124978.0,156217.0,31239.0
b,2021-11-22 11:16:26.265336,2021-11-22 11:16:26.390285,alex,124949.0,109343.0,-15606.0
e,2021-11-22 11:16:26.374679,2021-11-22 11:16:26.515277,alex,140598.0,93598.0,-47000.0
[space],2021-11-22 11:16:26.468277,2021-11-22 11:16:26.577758,alex,109481.0,109481.0,0.0
a,2021-11-22 11:16:26.577758,2021-11-22 11:16:26.749590,alex,171832.0,124954.0,-46878.0
[space],2021-11-22 11:16:26.702712,2021-11-22 11:16:26.812080,alex,109368.0,218721.0,109353.0
p,2021-11-22 11:16:26.921433,2021-11-22 11:16:27.046403,alex,124970.0,218705.0,93735.0
r,2021-11-22 11:16:27.140138,2021-11-22 11:16:27.218211,alex,78073.0,249926.0,171853.0
[backspace],2021-11-22 11:16:27.390064,2021-11-22 11:16:27.499426,alex,109362.0,109362.0,0.0
e,2021-11-22 11:16:27.499426,2021-11-22 11:16:27.640005,alex,140579.0,62472.0,-78107.0
r,2021-11-22 11:16:27.561898,2021-11-22 11:16:27.671146,alex,109248.0,156207.0,46959.0
s,2021-11-22 11:16:27.718105,2021-11-22 11:16:27.827469,alex,109364.0,281177.0,171813.0
i,2021-11-22 11:16:27.999282,2021-11-22 11:16:28.124266,alex,124984.0,187473.0,62489.0
s,2021-11-22 11:16:28.186755,2021-11-22 11:16:28.327347,alex,140592.0,156213.0,15621.0
t,2021-11-22 11:16:28.342968,2021-11-22 11:16:28.483546,alex,140578.0,156080.0,15502.0
e,2021-11-22 11:16:28.499048,2021-11-22 11:16:28.592927,alex,93879.0,93879.0,0.0
n,2021-11-22 11:16:28.592927,2021-11-22 11:16:28.702254,alex,109327.0,296791.0,187464.0
t,2021-11-22 11:16:28.889718,2021-11-22 11:16:29.061415,alex,171697.0,374910.0,203213.0
[space],2021-11-22 11:16:29.264628,2021-11-22 11:16:29.389490,alex,124862.0,281187.0,156325.0
s,2021-11-22 11:16:29.545815,2021-11-22 11:16:29.670781,alex,124966.0,62480.0,-62486.0
o,2021-11-22 11:16:29.608295,2021-11-22 11:16:29.768780,alex,160485.0,109338.0,-51147.0
u,2021-11-22 11:16:29.717633,2021-11-22 11:16:29.831114,alex,113481.0,97973.0,-15508.0
r,2021-11-22 11:16:29.815606,2021-11-22 11:16:29.909357,alex,93751.0,234240.0,140489.0
c,2021-11-22 11:16:30.049846,2021-11-22 11:16:30.190538,alex,140692.0,93829.0,-46863.0
e,2021-11-22 11:16:30.143675,2021-11-22 11:16:30.284202,alex,140527.0,109343.0,-31184.0
[space],2021-11-22 11:16:30.253018,2021-11-22 11:16:30.362372,alex,109354.0,77977.0,-31377.0
o,2021-11-22 11:16:30.330995,2021-11-22 11:16:30.471723,alex,140728.0,93862.0,-46866.0
f,2021-11-22 11:16:30.424857,2021-11-22 11:16:30.581007,alex,156150.0,93722.0,-62428.0
[space],2021-11-22 11:16:30.518579,2021-11-22 11:16:30.643560,alex,124981.0,249950.0,124969.0
c,2021-11-22 11:16:30.768529,2021-11-22 11:16:30.909122,alex,140593.0,77969.0,-62624.0
o,2021-11-22 11:16:30.846498,2021-11-22 11:16:30.987217,alex,140719.0,109487.0,-31232.0
n,2021-11-22 11:16:30.955985,2021-11-22 11:16:31.080821,alex,124836.0,93714.0,-31122.0
t,2021-11-22 11:16:31.049699,2021-11-22 11:16:31.190302,alex,140603.0,62364.0,-78239.0
r,2021-11-22 11:16:31.112063,2021-11-22 11:16:31.252779,alex,140716.0,125100.0,-15616.0
o,2021-11-22 11:16:31.237163,2021-11-22 11:16:31.362003,alex,124840.0,171841.0,47001.0
v,2021-11-22 11:16:31.409004,2021-11-22 11:16:31.533963,alex,124959.0,171818.0,46859.0
e,2021-11-22 11:16:31.580822,2021-11-22 11:16:31.768287,alex,187465.0,124986.0,-62479.0
r,2021-11-22 11:16:31.705808,2021-11-22 11:16:31.815148,alex,109340.0,437398.0,328058.0
s,2021-11-22 11:16:32.143206,2021-11-22 11:16:32.236801,alex,93595.0,78106.0,-15489.0
y,2021-11-22 11:16:32.221312,2021-11-22 11:16:32.372066,alex,150754.0,178606.0,27852.0
[space],2021-11-22 11:16:32.399918,2021-11-22 11:16:32.522889,alex,122971.0,326054.0,203083.0
a,2021-11-22 11:16:32.725972,2021-11-22 11:16:32.835312,alex,109340.0,62482.0,-46858.0
n,2021-11-22 11:16:32.788454,2021-11-22 11:16:32.913413,alex,124959.0,156192.0,31233.0
d,2021-11-22 11:16:32.944646,2021-11-22 11:16:33.069529,alex,124883.0,77991.0,-46892.0
[space],2021-11-22 11:16:33.022637,2021-11-22 11:16:33.147732,alex,125095.0,203217.0,78122.0
h,2021-11-22 11:16:33.225854,2021-11-22 11:16:33.366436,alex,140582.0,156202.0,15620.0
o,2021-11-22 11:16:33.382056,2021-11-22 11:16:33.491411,alex,109355.0,78013.0,-31342.0
t,2021-11-22 11:16:33.460069,2021-11-22 11:16:33.616377,alex,156308.0,109445.0,-46863.0
[space],2021-11-22 11:16:33.569514,2021-11-22 11:16:33.678854,alex,109340.0,171840.0,62500.0
t,2021-11-22 11:16:33.741354,2021-11-22 11:16:33.866310,alex,124956.0,93723.0,-31233.0
a,2021-11-22 11:16:33.835077,2021-11-22 11:16:33.959917,alex,124840.0,140462.0,15622.0
l,2021-11-22 11:16:33.975539,2021-11-22 11:16:34.053758,alex,78219.0,62625.0,-15594.0
k,2021-11-22 11:16:34.038164,2021-11-22 11:16:34.053758,alex,15594.0,624839.0,609245.0
e,2021-11-22 11:16:34.663003,2021-11-22 11:16:34.756740,alex,93737.0,203091.0,109354.0
s,2021-11-22 11:16:34.866094,2021-11-22 11:16:34.975301,alex,109207.0,249929.0,140722.0
