key,pressed,released,user,hold_time,press_press_time,press_release_time
[maj],2021-11-22 11:16:12.188553,2021-11-22 11:16:12.349552,zineb,160999.0,56000.0,-104999.0
y,2021-11-22 11:16:12.244553,2021-11-22 11:16:12.318555,zineb,74002.0,148999.0,74997.0
o,2021-11-22 11:16:12.393552,2021-11-22 11:16:12.508554,zineb,115002.0,75008.0,-39994.0
u,2021-11-22 11:16:12.468560,2021-11-22 11:16:12.549553,zineb,80993.0,180994.0,100001.0
[space],2021-11-22 11:16:12.649554,2021-11-22 11:16:12.722553,zineb,72999.0,107998.0,34999.0
w,2021-11-22 11:16:12.757552,2021-11-22 11:16:12.843591,zineb,86039.0,76001.0,-10038.0
o,2021-11-22 11:16:12.833553,2021-11-22 11:16:12.924554,zineb,91001.0,63000.0,-28001.0
u,2021-11-22 11:16:12.896553,2021-11-22 11:16:12.980552,zineb,83999.0,145999.0,62000.0
l,2021-11-22 11:16:13.042552,2021-11-22 11:16:13.121562,zineb,79010.0,83001.0,3991.0
d,2021-11-22 11:16:13.125553,2021-11-22 11:16:13.209552,zineb,83999.0,112000.0,28001.0
n,2021-11-22 11:16:13.237553,2021-11-22 11:16:13.300559,zineb,63006.0,115005.0,51999.0
',2021-11-22 11:16:13.352558,2021-11-22 11:16:13.427552,zineb,74994.0,169994.0,95000.0
t,2021-11-22 11:16:13.522552,2021-11-22 11:16:13.599553,zineb,77001.0,129002.0,52001.0
[space],2021-11-22 11:16:13.651554,2021-11-22 11:16:13.722553,zineb,70999.0,164000.0,93001.0
b,2021-11-22 11:16:13.815554,2021-11-22 11:16:13.894552,zineb,78998.0,290999.0,212001.0
[backspace],2021-11-22 11:16:14.106553,2021-11-22 11:16:14.170552,zineb,63999.0,183000.0,119001.0
n,2021-11-22 11:16:14.289553,2021-11-22 11:16:14.359561,zineb,70008.0,162001.0,91993.0
c,2021-11-22 11:16:14.451554,2021-11-22 11:16:14.592552,zineb,140998.0,263998.0,123000.0
s,2021-11-22 11:16:14.715552,2021-11-22 11:16:14.810557,zineb,95005.0,153001.0,57996.0
s,2021-11-22 11:16:14.868553,2021-11-22 11:16:14.954552,zineb,85999.0,502002.0,416003.0
r,2021-11-22 11:16:15.370555,2021-11-22 11:16:15.438552,zineb,67997.0,145997.0,78000.0
a,2021-11-22 11:16:15.516552,2021-11-22 11:16:15.606553,zineb,90001.0,1045084.0,955083.0
[backspace],2021-11-22 11:16:16.561636,2021-11-22 11:16:16.621412,zineb,59776.0,131849.0,72073.0
[backspace],2021-11-22 11:16:16.693485,2021-11-22 11:16:16.759160,zineb,65675.0,196837.0,131162.0
a,2021-11-22 11:16:16.890322,2021-11-22 11:16:16.985103,zineb,94781.0,276803.0,182022.0
[backspace],2021-11-22 11:16:17.167125,2021-11-22 11:16:17.223412,zineb,56287.0,124699.0,68412.0
[backspace],2021-11-22 11:16:17.291824,2021-11-22 11:16:17.360076,zineb,68252.0,58254.0,-9998.0
a,2021-11-22 11:16:17.350078,2021-11-22 11:16:17.444735,zineb,94657.0,132704.0,38047.0
r,2021-11-22 11:16:17.482782,2021-11-22 11:16:17.553059,zineb,70277.0,74221.0,3944.0
i,2021-11-22 11:16:17.557003,2021-11-22 11:16:17.609708,zineb,52705.0,137293.0,84588.0
l,2021-11-22 11:16:17.694296,2021-11-22 11:16:17.796020,zineb,101724.0,199113.0,97389.0
y,2021-11-22 11:16:17.893409,2021-11-22 11:16:17.959339,zineb,65930.0,204449.0,138519.0
[space],2021-11-22 11:16:18.097858,2021-11-22 11:16:18.170355,zineb,72497.0,103092.0,30595.0
t,2021-11-22 11:16:18.200950,2021-11-22 11:16:18.277914,zineb,76964.0,64989.0,-11975.0
h,2021-11-22 11:16:18.265939,2021-11-22 11:16:18.342942,zineb,77003.0,82001.0,4998.0
i,2021-11-22 11:16:18.347940,2021-11-22 11:16:18.470939,zineb,122999.0,125000.0,2001.0
n,2021-11-22 11:16:18.472940,2021-11-22 11:16:18.583945,zineb,111005.0,101000.0,-10005.0
k,2021-11-22 11:16:18.573940,2021-11-22 11:16:18.649943,zineb,76003.0,127002.0,50999.0
[space],2021-11-22 11:16:18.700942,2021-11-22 11:16:18.779938,zineb,78996.0,129998.0,51002.0
m,2021-11-22 11:16:18.830940,2021-11-22 11:16:18.962940,zineb,132000.0,166000.0,34000.0
i,2021-11-22 11:16:18.996940,2021-11-22 11:16:19.058940,zineb,62000.0,38002.0,-23998.0
n,2021-11-22 11:16:19.034942,2021-11-22 11:16:19.149940,zineb,114998.0,156997.0,41999.0
k,2021-11-22 11:16:19.191939,2021-11-22 11:16:19.251940,zineb,60001.0,270001.0,210000.0
[backspace],2021-11-22 11:16:19.461940,2021-11-22 11:16:19.510944,zineb,49004.0,119002.0,69998.0
[backspace],2021-11-22 11:16:19.580942,2021-11-22 11:16:19.643941,zineb,62999.0,222998.0,159999.0
l,2021-11-22 11:16:19.803940,2021-11-22 11:16:19.831939,zineb,27999.0,217002.0,189003.0
k,2021-11-22 11:16:20.020942,2021-11-22 11:16:20.088942,zineb,68000.0,183001.0,115001.0
",",2021-11-22 11:16:20.203943,2021-11-22 11:16:20.266946,zineb,63003.0,140996.0,77993.0
[space],2021-11-22 11:16:20.344939,2021-11-22 11:16:20.422939,zineb,78000.0,286000.0,208000.0
o,2021-11-22 11:16:20.630939,2021-11-22 11:16:20.718940,zineb,88001.0,130000.0,41999.0
f,2021-11-22 11:16:20.760939,2021-11-22 11:16:20.820944,zineb,60005.0,49003.0,-11002.0
[space],2021-11-22 11:16:20.809942,2021-11-22 11:16:20.873946,zineb,64004.0,156001.0,91997.0
a,2021-11-22 11:16:20.965943,2021-11-22 11:16:21.056945,zineb,91002.0,67001.0,-24001.0
l,2021-11-22 11:16:21.032944,2021-11-22 11:16:21.092956,zineb,60012.0,136997.0,76985.0
l,2021-11-22 11:16:21.169941,2021-11-22 11:16:21.242941,zineb,73000.0,130002.0,57002.0
[space],2021-11-22 11:16:21.299943,2021-11-22 11:16:21.386940,zineb,86997.0,168000.0,81003.0
t,2021-11-22 11:16:21.467943,2021-11-22 11:16:21.533946,zineb,66003.0,105006.0,39003.0
h,2021-11-22 11:16:21.572949,2021-11-22 11:16:21.628940,zineb,55991.0,126996.0,71005.0
i,2021-11-22 11:16:21.699945,2021-11-22 11:16:21.792941,zineb,92996.0,141994.0,48998.0
n,2021-11-22 11:16:21.841939,2021-11-22 11:16:21.919941,zineb,78002.0,85000.0,6998.0
g,2021-11-22 11:16:21.926939,2021-11-22 11:16:21.984975,zineb,58036.0,140000.0,81964.0
s,2021-11-22 11:16:22.066939,2021-11-22 11:16:22.141939,zineb,75000.0,87000.0,12000.0
",",2021-11-22 11:16:22.153939,2021-11-22 11:16:22.209939,zineb,56000.0,130000.0,74000.0
[space],2021-11-22 11:16:22.283939,2021-11-22 11:16:22.348942,zineb,65003.0,104001.0,38998.0
w,2021-11-22 11:16:22.387940,2021-11-22 11:16:22.469944,zineb,82004.0,41998.0,-40006.0
o,2021-11-22 11:16:22.429938,2021-11-22 11:16:22.535965,zineb,106027.0,71017.0,-35010.0
u,2021-11-22 11:16:22.500955,2021-11-22 11:16:22.576941,zineb,75986.0,129985.0,53999.0
l,2021-11-22 11:16:22.630940,2021-11-22 11:16:22.703939,zineb,72999.0,75001.0,2002.0
d,2021-11-22 11:16:22.705941,2021-11-22 11:16:22.758938,zineb,52997.0,74002.0,21005.0
[space],2021-11-22 11:16:22.779943,2021-11-22 11:16:22.835941,zineb,55998.0,113000.0,57002.0
b,2021-11-22 11:16:22.892943,2021-11-22 11:16:22.959940,zineb,66997.0,163998.0,97001.0
[space],2021-11-22 11:16:23.056941,2021-11-22 11:16:23.121952,zineb,65011.0,73027.0,8016.0
a,2021-11-22 11:16:23.129968,2021-11-22 11:16:23.197942,zineb,67974.0,111972.0,43998.0
[space],2021-11-22 11:16:23.241940,2021-11-22 11:16:23.305942,zineb,64002.0,137000.0,72998.0
p,2021-11-22 11:16:23.378940,2021-11-22 11:16:23.462939,zineb,83999.0,149999.0,66000.0
r,2021-11-22 11:16:23.528939,2021-11-22 11:16:23.589940,zineb,61001.0,123002.0,62001.0
s,2021-11-22 11:16:23.651941,2021-11-22 11:16:23.707945,zineb,56004.0,74998.0,18994.0
i,2021-11-22 11:16:23.726939,2021-11-22 11:16:23.787939,zineb,61000.0,68999.0,7999.0
s,2021-11-22 11:16:23.795938,2021-11-22 11:16:23.864942,zineb,69004.0,136003.0,66999.0
t,2021-11-22 11:16:23.931941,2021-11-22 11:16:24.050946,zineb,119005.0,234022.0,115017.0
n,2021-11-22 11:16:24.165963,2021-11-22 11:16:24.246939,zineb,80976.0,146976.0,66000.0
t,2021-11-22 11:16:24.312939,2021-11-22 11:16:24.375943,zineb,63004.0,110003.0,46999.0
[space],2021-11-22 11:16:24.422942,2021-11-22 11:16:24.484940,zineb,61998.0,276997.0,214999.0
s,2021-11-22 11:16:24.699939,2021-11-22 11:16:24.771940,zineb,72001.0,104001.0,32000.0
o,2021-11-22 11:16:24.803940,2021-11-22 11:16:24.884939,zineb,80999.0,52998.0,-28001.0
u,2021-11-22 11:16:24.856938,2021-11-22 11:16:24.952978,zineb,96040.0,44001.0,-52039.0
r,2021-11-22 11:16:24.900939,2021-11-22 11:16:25.034939,zineb,134000.0,114003.0,-19997.0
c,2021-11-22 11:16:25.014942,2021-11-22 11:16:25.133939,zineb,118997.0,146004.0,27007.0
[space],2021-11-22 11:16:25.160946,2021-11-22 11:16:25.226939,zineb,65993.0,130993.0,65000.0
o,2021-11-22 11:16:25.291939,2021-11-22 11:16:25.370939,zineb,79000.0,59001.0,-19999.0
f,2021-11-22 11:16:25.350940,2021-11-22 11:16:25.423945,zineb,73005.0,88002.0,14997.0
[space],2021-11-22 11:16:25.438942,2021-11-22 11:16:25.502942,zineb,64000.0,170998.0,106998.0
c,2021-11-22 11:16:25.609940,2021-11-22 11:16:25.680941,zineb,71001.0,58001.0,-13000.0
o,2021-11-22 11:16:25.667941,2021-11-22 11:16:25.766963,zineb,99022.0,54997.0,-44025.0
n,2021-11-22 11:16:25.722938,2021-11-22 11:16:25.826941,zineb,104003.0,106004.0,2001.0
t,2021-11-22 11:16:25.828942,2021-11-22 11:16:25.925938,zineb,96996.0,46005.0,-50991.0
r,2021-11-22 11:16:25.874947,2021-11-22 11:16:25.971941,zineb,96994.0,74997.0,-21997.0
o,2021-11-22 11:16:25.949944,2021-11-22 11:16:26.014946,zineb,65002.0,143020.0,78018.0
v,2021-11-22 11:16:26.092964,2021-11-22 11:16:26.214939,zineb,121975.0,135003.0,13028.0
r,2021-11-22 11:16:26.227967,2021-11-22 11:16:26.309939,zineb,81972.0,166973.0,85001.0
s,2021-11-22 11:16:26.394940,2021-11-22 11:16:26.460941,zineb,66001.0,102003.0,36002.0
y,2021-11-22 11:16:26.496943,2021-11-22 11:16:26.591940,zineb,94997.0,442997.0,348000.0
[space],2021-11-22 11:16:26.939940,2021-11-22 11:16:27.021973,zineb,82033.0,86001.0,3968.0
a,2021-11-22 11:16:27.025941,2021-11-22 11:16:27.102976,zineb,77035.0,93999.0,16964.0
n,2021-11-22 11:16:27.119940,2021-11-22 11:16:27.180942,zineb,61002.0,68000.0,6998.0
d,2021-11-22 11:16:27.187940,2021-11-22 11:16:27.254942,zineb,67002.0,82024.0,15022.0
[space],2021-11-22 11:16:27.269964,2021-11-22 11:16:27.330944,zineb,60980.0,136976.0,75996.0
h,2021-11-22 11:16:27.406940,2021-11-22 11:16:27.517964,zineb,111024.0,85028.0,-25996.0
o,2021-11-22 11:16:27.491968,2021-11-22 11:16:27.589940,zineb,97972.0,118972.0,21000.0
t,2021-11-22 11:16:27.610940,2021-11-22 11:16:27.638940,zineb,28000.0,59000.0,31000.0
[space],2021-11-22 11:16:27.669940,2021-11-22 11:16:27.749939,zineb,79999.0,66999.0,-13000.0
t,2021-11-22 11:16:27.736939,2021-11-22 11:16:27.842941,zineb,106002.0,65014.0,-40988.0
a,2021-11-22 11:16:27.801953,2021-11-22 11:16:27.882954,zineb,81001.0,115078.0,34077.0
k,2021-11-22 11:16:27.917031,2021-11-22 11:16:27.990312,zineb,73281.0,216163.0,142882.0
s,2021-11-22 11:16:28.133194,2021-11-22 11:16:28.202347,zineb,69153.0,215079.0,145926.0
[maj],2021-11-22 11:16:28.348273,2021-11-22 11:16:28.462842,zineb,114569.0,27389.0,-87180.0
.,2021-11-22 11:16:28.375662,2021-11-22 11:16:28.449360,zineb,73698.0,166560.0,92862.0
[space],2021-11-22 11:16:28.542222,2021-11-22 11:16:28.640101,zineb,97879.0,61161.0,-36718.0
[maj],2021-11-22 11:16:28.603383,2021-11-22 11:16:28.748975,zineb,145592.0,55651.0,-89941.0
a,2021-11-22 11:16:28.659034,2021-11-22 11:16:28.770261,zineb,111227.0,131153.0,19926.0
n,2021-11-22 11:16:28.790187,2021-11-22 11:16:28.856287,zineb,66100.0,78008.0,11908.0
d,2021-11-22 11:16:28.868195,2021-11-22 11:16:28.940259,zineb,72064.0,83035.0,10971.0
[space],2021-11-22 11:16:28.951230,2021-11-22 11:16:29.016633,zineb,65403.0,177147.0,111744.0
y,2021-11-22 11:16:29.128377,2021-11-22 11:16:29.203118,zineb,74741.0,229202.0,154461.0
t,2021-11-22 11:16:29.357579,2021-11-22 11:16:29.422231,zineb,64652.0,115401.0,50749.0
!,2021-11-22 11:16:29.472980,2021-11-22 11:16:29.555393,zineb,82413.0,335654.0,253241.0
[space],2021-11-22 11:16:29.808634,2021-11-22 11:16:29.888236,zineb,79602.0,254813.0,175211.0
[maj],2021-11-22 11:16:30.063447,2021-11-22 11:16:30.234288,zineb,170841.0,100292.0,-70549.0
t,2021-11-22 11:16:30.163739,2021-11-22 11:16:30.211464,zineb,47725.0,95337.0,47612.0
o,2021-11-22 11:16:30.259076,2021-11-22 11:16:30.313686,zineb,54610.0,154393.0,99783.0
[space],2021-11-22 11:16:30.413469,2021-11-22 11:16:30.473567,zineb,60098.0,100059.0,39961.0
t,2021-11-22 11:16:30.513528,2021-11-22 11:16:30.596900,zineb,83372.0,33677.0,-49695.0
a,2021-11-22 11:16:30.547205,2021-11-22 11:16:30.643238,zineb,96033.0,99032.0,2999.0
k,2021-11-22 11:16:30.646237,2021-11-22 11:16:30.713414,zineb,67177.0,141051.0,73874.0
[space],2021-11-22 11:16:30.787288,2021-11-22 11:16:30.833333,zineb,46045.0,109649.0,63604.0
o,2021-11-22 11:16:30.896937,2021-11-22 11:16:31.009409,zineb,112472.0,70297.0,-42175.0
n,2021-11-22 11:16:30.967234,2021-11-22 11:16:31.044044,zineb,76810.0,161996.0,85186.0
[space],2021-11-22 11:16:31.129230,2021-11-22 11:16:31.212569,zineb,83339.0,207773.0,124434.0
x,2021-11-22 11:16:31.337003,2021-11-22 11:16:31.446098,zineb,109095.0,52562.0,-56533.0
a,2021-11-22 11:16:31.389565,2021-11-22 11:16:31.478151,zineb,88586.0,93803.0,5217.0
m,2021-11-22 11:16:31.483368,2021-11-22 11:16:31.664409,zineb,181041.0,101574.0,-79467.0
p,2021-11-22 11:16:31.584942,2021-11-22 11:16:31.698300,zineb,113358.0,81323.0,-32035.0
l,2021-11-22 11:16:31.666265,2021-11-22 11:16:31.751709,zineb,85444.0,205536.0,120092.0
",",2021-11-22 11:16:31.871801,2021-11-22 11:16:31.933923,zineb,62122.0,124482.0,62360.0
[space],2021-11-22 11:16:31.996283,2021-11-22 11:16:32.072883,zineb,76600.0,113015.0,36415.0
t,2021-11-22 11:16:32.109298,2021-11-22 11:16:32.182381,zineb,73083.0,84116.0,11033.0
h,2021-11-22 11:16:32.193414,2021-11-22 11:16:32.266238,zineb,72824.0,161131.0,88307.0
r,2021-11-22 11:16:32.354545,2021-11-22 11:16:32.464149,zineb,109604.0,211301.0,101697.0
[space],2021-11-22 11:16:32.565846,2021-11-22 11:16:32.653846,zineb,88000.0,104284.0,16284.0
w,2021-11-22 11:16:32.670130,2021-11-22 11:16:32.796692,zineb,126562.0,61444.0,-65118.0
a,2021-11-22 11:16:32.731574,2021-11-22 11:16:32.827621,zineb,96047.0,138843.0,42796.0
s,2021-11-22 11:16:32.870417,2021-11-22 11:16:32.940763,zineb,70346.0,82343.0,11997.0
[space],2021-11-22 11:16:32.952760,2021-11-22 11:16:33.016518,zineb,63758.0,75879.0,12121.0
a,2021-11-22 11:16:33.028639,2021-11-22 11:16:33.119876,zineb,91237.0,104422.0,13185.0
[space],2021-11-22 11:16:33.133061,2021-11-22 11:16:33.211492,zineb,78431.0,83440.0,5009.0
t,2021-11-22 11:16:33.216501,2021-11-22 11:16:33.309391,zineb,92890.0,49191.0,-43699.0
a,2021-11-22 11:16:33.265692,2021-11-22 11:16:33.354941,zineb,89249.0,91261.0,2012.0
l,2021-11-22 11:16:33.356953,2021-11-22 11:16:33.434084,zineb,77131.0,194593.0,117462.0
[space],2021-11-22 11:16:33.551546,2021-11-22 11:16:33.604866,zineb,53320.0,114464.0,61144.0
o,2021-11-22 11:16:33.666010,2021-11-22 11:16:33.750581,zineb,84571.0,37103.0,-47468.0
f,2021-11-22 11:16:33.703113,2021-11-22 11:16:33.771731,zineb,68618.0,144855.0,76237.0
[space],2021-11-22 11:16:33.847968,2021-11-22 11:16:33.916720,zineb,68752.0,76759.0,8007.0
a,2021-11-22 11:16:33.924727,2021-11-22 11:16:34.000692,zineb,75965.0,116392.0,40427.0
[space],2021-11-22 11:16:34.041119,2021-11-22 11:16:34.112511,zineb,71392.0,80924.0,9532.0
f,2021-11-22 11:16:34.122043,2021-11-22 11:16:34.214583,zineb,92540.0,46631.0,-45909.0
a,2021-11-22 11:16:34.168674,2021-11-22 11:16:34.271408,zineb,102734.0,75496.0,-27238.0
m,2021-11-22 11:16:34.244170,2021-11-22 11:16:34.311963,zineb,67793.0,118973.0,51180.0
i,2021-11-22 11:16:34.363143,2021-11-22 11:16:34.446538,zineb,83395.0,140642.0,57247.0
l,2021-11-22 11:16:34.503785,2021-11-22 11:16:34.590760,zineb,86975.0,125088.0,38113.0
y,2021-11-22 11:16:34.628873,2021-11-22 11:16:34.682106,zineb,53233.0,3011.0,-50222.0
u,2021-11-22 11:16:34.631884,2021-11-22 11:16:34.648740,zineb,16856.0,166733.0,149877.0
[space],2021-11-22 11:16:34.798617,2021-11-22 11:16:34.894860,zineb,96243.0,149497.0,53254.0
w,2021-11-22 11:16:34.948114,2021-11-22 11:16:35.056708,zineb,108594.0,110732.0,2138.0
h,2021-11-22 11:16:35.058846,2021-11-22 11:16:35.130561,zineb,71715.0,103150.0,31435.0
o,2021-11-22 11:16:35.161996,2021-11-22 11:16:35.236981,zineb,74985.0,144171.0,69186.0
[space],2021-11-22 11:16:35.306167,2021-11-22 11:16:35.384159,zineb,77992.0,79991.0,1999.0
s,2021-11-22 11:16:35.386158,2021-11-22 11:16:35.477455,zineb,91297.0,68230.0,-23067.0
a,2021-11-22 11:16:35.454388,2021-11-22 11:16:35.546304,zineb,91916.0,105863.0,13947.0
y,2021-11-22 11:16:35.560251,2021-11-22 11:16:35.630965,zineb,70714.0,123026.0,52312.0
s,2021-11-22 11:16:35.683277,2021-11-22 11:16:35.760899,zineb,77622.0,134706.0,57084.0
[space],2021-11-22 11:16:35.817983,2021-11-22 11:16:35.870172,zineb,52189.0,133734.0,81545.0
i,2021-11-22 11:16:35.951717,2021-11-22 11:16:36.068583,zineb,116866.0,82158.0,-34708.0
n,2021-11-22 11:16:36.033875,2021-11-22 11:16:36.120332,zineb,86457.0,66044.0,-20413.0
f,2021-11-22 11:16:36.099919,2021-11-22 11:16:36.180995,zineb,81076.0,94745.0,13669.0
l,2021-11-22 11:16:36.194664,2021-11-22 11:16:36.256077,zineb,61413.0,80979.0,19566.0
