user,hold_time,press_press_time,press_release_time
alex,5705607.7,725089.2,-4980518.5
alex,113792.85714285714,234301.0,120508.14285714286
alex,145838.33333333334,125014.66666666667,-20823.666666666668
alex,116581.6875,249577.625,132995.9375
alex,136938.875,207248.0,70309.125
alex,145798.66666666666,124970.33333333333,-20828.333333333332
alex,164031.5,195270.5,31239.0
alex,135359.11111111112,182249.77777777778,46890.666666666664
alex,118727.4,131218.8,12491.4
alex,107380.0,171817.375,64437.375
alex,137100.44444444444,102420.66666666667,-34679.77777777778
alex,120157.33333333333,221696.83333333334,101539.5
alex,136678.42857142858,136671.14285714287,-7.285714285714286
alex,135377.33333333334,119784.33333333333,-15593.0
alex,132754.0,187461.5,54707.5
alex,135357.11111111112,152728.88888888888,17371.777777777777
alex,139010.66666666666,123392.0,-15618.666666666666
alex,138035.83333333334,108161.83333333333,-29874.0
alex,178637.8,161189.0,-17448.8
alex,127186.57142857143,142822.57142857142,15636.0
alex,112455.8,140592.8,28137.0
alex,149821.14285714287,241335.7142857143,91514.57142857143
alex,97601.625,130817.25,33215.625
alex,124964.0,140624.0,15660.0
alex,114505.22222222222,214690.44444444444,100185.22222222222
alex,140559.0,222606.25,82047.25
alex,118255.57142857143,238782.85714285713,120527.28571428571
alex,140611.2,149961.8,9350.6
alex,136108.42857142858,104886.85714285714,-31221.571428571428
alex,146834.6,165587.6,18753.0
alex,149945.8,156212.6,6266.8
alex,122328.33333333333,148403.0,26074.666666666668
alex,117154.0,229669.83333333334,112515.83333333333
alex,117182.25,175741.25,58559.0
alex,91764.75,165976.0,74211.25
alex,122319.16666666667,213493.0,91173.83333333333
alex,143714.0,134342.0,-9372.0
alex,132759.0,183551.5,50792.5
alex,127181.71428571429,365985.5714285714,238803.85714285713
alex,101552.83333333333,283787.0,182234.16666666666
alex,122349.66666666667,106744.16666666667,-15605.5
alex,145006.75,152831.25,7824.5
alex,146866.4,312428.4,165562.0
alex,137422.6,140590.0,3167.4
alex,119763.33333333333,109349.0,-10414.333333333334
alex,143714.2,269104.0,125389.8
alex,147524.0,185438.2857142857,37914.28571428572
alex,127584.0,193965.0,66381.0
alex,164044.0,135383.16666666666,-28660.833333333332
alex,166585.33333333334,145756.0,-20829.333333333332
alex,141209.25,224866.125,83656.875
alex,144386.25,125351.75,-19034.5
alex,157053.6,176887.2,19833.6
alex,145757.16666666666,379065.3333333333,233308.16666666666
alex,177061.66666666666,249939.0,72877.33333333333
alex,126549.2,123410.3,-3138.9
alex,140587.0,187430.75,46843.75
alex,113277.5,210911.75,97634.25
alex,126684.33333333333,149269.33333333334,22585.0
alex,106255.4,131222.4,24967.0
alex,126898.88888888889,166848.44444444444,39949.555555555555
alex,124992.5,191358.25,66365.75
alex,138356.0,122739.85714285714,-15616.142857142857
alex,149973.6,168697.2,46852.6
