key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
p,2021-10-20 11:18:50.223298,2021-10-20 11:18:50.356483,zihao,133185.0,94579.0,-38606.0,110394.0
a,2021-10-20 11:18:50.317877,2021-10-20 11:18:50.466877,zihao,149000.0,144129.0,-4871.0,116330.0
n,2021-10-20 11:18:50.462006,2021-10-20 11:18:50.583207,zihao,121201.0,262640.0,141439.0,294926.0
g,2021-10-20 11:18:50.724646,2021-10-20 11:18:50.878133,zihao,153487.0,193215.0,39728.0,206801.0
r,2021-10-20 11:18:50.917861,2021-10-20 11:18:51.084934,zihao,167073.0,112647.0,-54426.0,88783.0
a,2021-10-20 11:18:51.030508,2021-10-20 11:18:51.173717,zihao,143209.0,70962.0,-72247.0,54809.0
n,2021-10-20 11:18:51.101470,2021-10-20 11:18:51.228526,zihao,127056.0,741942.0,614886.0,748236.0
[backspace],2021-10-20 11:18:51.843412,2021-10-20 11:18:51.976762,zihao,133350.0,212612.0,79262.0,214220.0
m,2021-10-20 11:18:52.056024,2021-10-20 11:18:52.190982,zihao,134958.0,1002451.0,867493.0,974908.0
",",2021-10-20 11:18:53.058475,2021-10-20 11:18:53.165890,zihao,107415.0,155159.0,47744.0,159635.0
[space],2021-10-20 11:18:53.213634,2021-10-20 11:18:53.325525,zihao,111891.0,171859.0,59968.0,200295.0
o,2021-10-20 11:18:53.385493,2021-10-20 11:18:53.525820,zihao,140327.0,154924.0,14597.0,148293.0
r,2021-10-20 11:18:53.540417,2021-10-20 11:18:53.674113,zihao,133696.0,88101.0,-45595.0,90845.0
[space],2021-10-20 11:18:53.628518,2021-10-20 11:18:53.764958,zihao,136440.0,291082.0,154642.0,326377.0
h,2021-10-20 11:18:53.919600,2021-10-20 11:18:54.091335,zihao,171735.0,176599.0,4864.0,99474.0
o,2021-10-20 11:18:54.096199,2021-10-20 11:18:54.190809,zihao,94610.0,253064.0,158454.0,284109.0
l,2021-10-20 11:18:54.349263,2021-10-20 11:18:54.474918,zihao,125655.0,232475.0,106820.0,246380.0
o,2021-10-20 11:18:54.581738,2021-10-20 11:18:54.721298,zihao,139560.0,178306.0,38746.0,189188.0
a,2021-10-20 11:18:54.760044,2021-10-20 11:18:54.910486,zihao,150442.0,1050945.0,900503.0,1023094.0
l,2021-10-20 11:18:55.810989,2021-10-20 11:18:55.933580,zihao,122591.0,150420.0,27829.0,139943.0
p,2021-10-20 11:18:55.961409,2021-10-20 11:18:56.073523,zihao,112114.0,215113.0,102999.0,297344.0
h,2021-10-20 11:18:56.176522,2021-10-20 11:18:56.370867,zihao,194345.0,154758.0,-39587.0,117152.0
a,2021-10-20 11:18:56.331280,2021-10-20 11:18:56.488019,zihao,156739.0,283527.0,126788.0,281418.0
b,2021-10-20 11:18:56.614807,2021-10-20 11:18:56.769437,zihao,154630.0,149767.0,-4863.0,141364.0
e,2021-10-20 11:18:56.764574,2021-10-20 11:18:56.910801,zihao,146227.0,282238.0,136011.0,285401.0
t,2021-10-20 11:18:57.046812,2021-10-20 11:18:57.196202,zihao,149390.0,269937.0,120547.0,254165.0
i,2021-10-20 11:18:57.316749,2021-10-20 11:18:57.450367,zihao,133618.0,139273.0,5655.0,172120.0
c,2021-10-20 11:18:57.456022,2021-10-20 11:18:57.622487,zihao,166465.0,120287.0,-46178.0,76689.0
