,timestamp,key
0,2021-10-20 10:11:51 885470,[haut]
1,2021-10-20 10:11:52 206953,[haut]
2,2021-10-20 10:11:52 634764,[haut]
3,2021-10-20 10:11:53 072751,[haut]
4,2021-10-20 10:11:53 573929,[haut]
5,2021-10-20 10:11:54 059988,[haut]
6,2021-10-20 10:11:54 826000,[haut]
7,2021-10-20 10:11:55 546261,[backspace]
8,2021-10-20 10:11:55 722365,[backspace]
9,2021-10-20 10:11:55 857766,[backspace]
10,2021-10-20 10:11:56 006978,[backspace]
11,2021-10-20 10:11:56 137986,[backspace]
12,2021-10-20 10:11:56 249979,r
13,2021-10-20 10:11:56 339664,e
14,2021-10-20 10:11:56 595771,l
15,2021-10-20 10:11:56 696627,e
16,2021-10-20 10:11:56 806948,a
17,2021-10-20 10:11:56 936248,s
18,2021-10-20 10:11:57 118201,e
19,2021-10-20 10:11:57 435870,[enter]
20,2021-10-20 10:11:57 911859,[alt]
21,2021-10-20 10:11:57 955697,[tab]
22,2021-10-20 10:12:02 140923,[maj]
23,2021-10-20 10:12:02 375373,a
24,2021-10-20 10:12:02 625313,[space]
25,2021-10-20 10:12:02 797153,p
26,2021-10-20 10:12:02 984592,a
27,2021-10-20 10:12:03 109580,n
28,2021-10-20 10:12:03 656328,g
29,2021-10-20 10:12:03 859402,r
30,2021-10-20 10:12:03 937502,a
31,2021-10-20 10:12:04 031240,m
32,2021-10-20 10:12:04 218686,[space]
33,2021-10-20 10:12:04 437260,o
34,2021-10-20 10:12:04 609226,r
35,2021-10-20 10:12:04 671709,[space]
36,2021-10-20 10:12:04 812304,h
37,2021-10-20 10:12:05 033227,l
38,2021-10-20 10:12:05 767444,[backspace]
39,2021-10-20 10:12:05 908032,o
40,2021-10-20 10:12:06 126734,l
41,2021-10-20 10:12:06 282936,o
42,2021-10-20 10:12:06 486024,a
43,2021-10-20 10:12:06 579619,p
44,2021-10-20 10:12:06 892179,[backspace]
45,2021-10-20 10:12:07 032765,l
46,2021-10-20 10:12:07 157738,p
47,2021-10-20 10:12:07 407681,h
48,2021-10-20 10:12:07 598520,a
49,2021-10-20 10:12:07 696412,b
50,2021-10-20 10:12:07 868262,e
51,2021-10-20 10:12:08 040100,t
52,2021-10-20 10:12:08 133823,i
53,2021-10-20 10:12:08 336905,c
54,2021-10-20 10:12:08 477476,[space]
55,2021-10-20 10:12:08 633708,s
56,2021-10-20 10:12:08 805546,e
57,2021-10-20 10:12:09 307567,n
58,2021-10-20 10:12:09 479388,t
59,2021-10-20 10:12:09 588729,e
60,2021-10-20 10:12:09 791816,n
61,2021-10-20 10:12:09 948024,c
62,2021-10-20 10:12:10 088630,e
63,2021-10-20 10:12:10 322953,[space]
64,2021-10-20 10:12:10 463530,i
65,2021-10-20 10:12:10 588513,s
66,2021-10-20 10:12:10 697860,[space]
67,2021-10-20 10:12:10 838441,a
68,2021-10-20 10:12:10 947783,[space]
69,2021-10-20 10:12:11 228982,s
70,2021-10-20 10:12:11 400821,e
71,2021-10-20 10:12:11 494542,n
72,2021-10-20 10:12:11 650752,t
73,2021-10-20 10:12:12 025683,e
74,2021-10-20 10:12:12 150632,n
75,2021-10-20 10:12:12 259985,c
76,2021-10-20 10:12:12 431832,e
77,2021-10-20 10:12:12 541159,[space]
78,2021-10-20 10:12:12 869230,t
79,2021-10-20 10:12:12 978575,a
80,2021-10-20 10:12:13 056665,h
81,2021-10-20 10:12:13 228416,t
82,2021-10-20 10:12:13 306606,[space]
83,2021-10-20 10:12:13 525324,[backspace]
84,2021-10-20 10:12:13 681538,[backspace]
85,2021-10-20 10:12:13 822112,[backspace]
86,2021-10-20 10:12:13 962715,[backspace]
87,2021-10-20 10:12:14 134554,h
88,2021-10-20 10:12:14 228276,a
89,2021-10-20 10:12:14 321989,t
90,2021-10-20 10:12:14 431361,[space]
91,2021-10-20 10:12:14 899863,c
92,2021-10-20 10:12:14 962480,o
93,2021-10-20 10:12:15 040580,n
94,2021-10-20 10:12:15 165454,t
95,2021-10-20 10:12:15 243544,a
96,2021-10-20 10:12:15 306140,i
97,2021-10-20 10:12:15 384258,n
98,2021-10-20 10:12:15 524846,s
99,2021-10-20 10:12:15 634202,[space]
100,2021-10-20 10:12:15 821649,e
101,2021-10-20 10:12:15 964612,v
102,2021-10-20 10:12:16 089602,e
103,2021-10-20 10:12:16 230186,r
104,2021-10-20 10:12:16 402005,y
105,2021-10-20 10:12:16 886284,[space]
106,2021-10-20 10:12:17 151830,l
107,2021-10-20 10:12:17 245572,e
108,2021-10-20 10:12:17 354917,t
109,2021-10-20 10:12:17 511132,t
110,2021-10-20 10:12:17 573613,e
111,2021-10-20 10:12:17 714212,r
112,2021-10-20 10:12:17 792315,[space]
113,2021-10-20 10:12:18 108528,o
114,2021-10-20 10:12:18 249178,f
115,2021-10-20 10:12:18 327301,[space]
116,2021-10-20 10:12:18 467881,t
117,2021-10-20 10:12:18 592863,h
