,timestamp,key
0,2021-10-20 10:11:58 136024,[tab]
1,2021-10-20 10:11:58 475629,[alt]
2,2021-10-20 10:12:02 515973,[maj]
3,2021-10-20 10:12:02 531455,a
4,2021-10-20 10:12:02 719030,[space]
5,2021-10-20 10:12:02 875255,p
6,2021-10-20 10:12:03 109580,a
7,2021-10-20 10:12:03 203294,n
8,2021-10-20 10:12:03 749918,g
9,2021-10-20 10:12:03 999973,r
10,2021-10-20 10:12:04 078100,a
11,2021-10-20 10:12:04 187443,m
12,2021-10-20 10:12:04 328041,[space]
13,2021-10-20 10:12:04 609226,o
14,2021-10-20 10:12:04 734180,r
15,2021-10-20 10:12:04 812304,[space]
16,2021-10-20 10:12:04 939495,h
17,2021-10-20 10:12:05 158075,l
18,2021-10-20 10:12:05 861171,[backspace]
19,2021-10-20 10:12:06 032988,o
20,2021-10-20 10:12:06 220461,l
21,2021-10-20 10:12:06 376673,o
22,2021-10-20 10:12:06 595237,a
23,2021-10-20 10:12:06 720343,p
24,2021-10-20 10:12:07 017139,[backspace]
25,2021-10-20 10:12:07 142108,l
26,2021-10-20 10:12:07 298321,p
27,2021-10-20 10:12:07 548262,h
28,2021-10-20 10:12:07 680796,a
29,2021-10-20 10:12:07 805782,b
30,2021-10-20 10:12:08 024484,e
31,2021-10-20 10:12:08 102585,t
32,2021-10-20 10:12:08 274424,i
33,2021-10-20 10:12:08 461857,c
34,2021-10-20 10:12:08 618084,[space]
35,2021-10-20 10:12:08 742926,s
36,2021-10-20 10:12:08 901276,e
37,2021-10-20 10:12:09 432526,n
38,2021-10-20 10:12:09 604379,t
39,2021-10-20 10:12:09 729331,e
40,2021-10-20 10:12:09 916792,n
41,2021-10-20 10:12:10 151110,c
42,2021-10-20 10:12:10 244836,e
43,2021-10-20 10:12:10 447914,[space]
44,2021-10-20 10:12:10 604132,i
45,2021-10-20 10:12:10 760332,s
46,2021-10-20 10:12:10 822835,[space]
47,2021-10-20 10:12:11 025891,a
48,2021-10-20 10:12:11 088396,[space]
49,2021-10-20 10:12:11 306964,s
50,2021-10-20 10:12:11 525776,e
51,2021-10-20 10:12:11 635141,n
52,2021-10-20 10:12:11 744483,t
