,key,pressed,released,user
208,[backspace],2021-10-20 10:11:55 546261,2021-10-20 10:12:05 861171,Alex
133,r,2021-10-20 10:11:56 249979,2021-10-20 10:12:03 999973,Alex
232,e,2021-10-20 10:11:56 339664,2021-10-20 10:12:08 024484,Alex
196,l,2021-10-20 10:11:56 595771,2021-10-20 10:12:05 158075,Alex
8,a,2021-10-20 10:11:56 806948,2021-10-20 10:12:02 531455,Alex
328,s,2021-10-20 10:11:56 936248,2021-10-20 10:12:08 742926,Alex
1,[alt],2021-10-20 10:11:57 911859,2021-10-20 10:11:58 475629,Alex
0,[tab],2021-10-20 10:11:57 955697,2021-10-20 10:11:58 136024,Alex
2,[maj],2021-10-20 10:12:02 140923,2021-10-20 10:12:02 515973,Alex
34,[space],2021-10-20 10:12:02 625313,2021-10-20 10:12:02 719030,Alex
97,p,2021-10-20 10:12:02 797153,2021-10-20 10:12:02 875255,Alex
9,a,2021-10-20 10:12:02 984592,2021-10-20 10:12:03 109580,Alex
107,n,2021-10-20 10:12:03 109580,2021-10-20 10:12:03 203294,Alex
125,g,2021-10-20 10:12:03 656328,2021-10-20 10:12:03 749918,Alex
10,a,2021-10-20 10:12:03 937502,2021-10-20 10:12:04 078100,Alex
149,m,2021-10-20 10:12:04 031240,2021-10-20 10:12:04 187443,Alex
35,[space],2021-10-20 10:12:04 218686,2021-10-20 10:12:04 328041,Alex
156,o,2021-10-20 10:12:04 437260,2021-10-20 10:12:04 609226,Alex
134,r,2021-10-20 10:12:04 609226,2021-10-20 10:12:04 734180,Alex
36,[space],2021-10-20 10:12:04 671709,2021-10-20 10:12:04 812304,Alex
178,h,2021-10-20 10:12:04 812304,2021-10-20 10:12:04 939495,Alex
157,o,2021-10-20 10:12:05 908032,2021-10-20 10:12:06 032988,Alex
197,l,2021-10-20 10:12:06 126734,2021-10-20 10:12:06 220461,Alex
158,o,2021-10-20 10:12:06 282936,2021-10-20 10:12:06 376673,Alex
11,a,2021-10-20 10:12:06 486024,2021-10-20 10:12:06 595237,Alex
98,p,2021-10-20 10:12:06 579619,2021-10-20 10:12:06 720343,Alex
